(pytorch_p36) sh-4.2$ python3 train.py 20ng
Using onehot features?  False
[2020/4/17 14:16:36] Epoch: 1, train_loss= 2.99571, train_acc= 0.05657, val_loss= 2.99579, val_acc= 0.06095, time= 12.15894
[2020/4/17 14:16:48] Epoch: 2, train_loss= 2.99548, train_acc= 0.06718, val_loss= 2.99577, val_acc= 0.08569, time= 11.64807
[2020/4/17 14:17:00] Epoch: 3, train_loss= 2.99524, train_acc= 0.09360, val_loss= 2.99575, val_acc= 0.09276, time= 11.58920
[2020/4/17 14:17:12] Epoch: 4, train_loss= 2.99501, train_acc= 0.11619, val_loss= 2.99573, val_acc= 0.10159, time= 12.47052
[2020/4/17 14:17:24] Epoch: 5, train_loss= 2.99478, train_acc= 0.12365, val_loss= 2.99571, val_acc= 0.10601, time= 11.56668
[2020/4/17 14:17:35] Epoch: 6, train_loss= 2.99455, train_acc= 0.12414, val_loss= 2.99569, val_acc= 0.10601, time= 11.56720
[2020/4/17 14:17:47] Epoch: 7, train_loss= 2.99431, train_acc= 0.12885, val_loss= 2.99567, val_acc= 0.10777, time= 11.59203
[2020/4/17 14:17:58] Epoch: 8, train_loss= 2.99408, train_acc= 0.13357, val_loss= 2.99564, val_acc= 0.11131, time= 11.60195
[2020/4/17 14:18:10] Epoch: 9, train_loss= 2.99385, train_acc= 0.13661, val_loss= 2.99562, val_acc= 0.11396, time= 11.58244
[2020/4/17 14:18:22] Epoch: 10, train_loss= 2.99362, train_acc= 0.13897, val_loss= 2.99560, val_acc= 0.11749, time= 11.58397
[2020/4/17 14:18:33] Epoch: 11, train_loss= 2.99338, train_acc= 0.14172, val_loss= 2.99558, val_acc= 0.11837, time= 11.61088
[2020/4/17 14:18:45] Epoch: 12, train_loss= 2.99314, train_acc= 0.14270, val_loss= 2.99556, val_acc= 0.11837, time= 11.57193
[2020/4/17 14:18:57] Epoch: 13, train_loss= 2.99291, train_acc= 0.14329, val_loss= 2.99554, val_acc= 0.12014, time= 11.75262
[2020/4/17 14:19:09] Epoch: 14, train_loss= 2.99266, train_acc= 0.14359, val_loss= 2.99552, val_acc= 0.11926, time= 12.55776
[2020/4/17 14:19:26] Epoch: 15, train_loss= 2.99241, train_acc= 0.14290, val_loss= 2.99549, val_acc= 0.11926, time= 16.64943
[2020/4/17 14:19:41] Epoch: 16, train_loss= 2.99216, train_acc= 0.14280, val_loss= 2.99547, val_acc= 0.12014, time= 15.70877
[2020/4/17 14:19:58] Epoch: 17, train_loss= 2.99190, train_acc= 0.14260, val_loss= 2.99545, val_acc= 0.12014, time= 16.51248
[2020/4/17 14:20:10] Epoch: 18, train_loss= 2.99164, train_acc= 0.14172, val_loss= 2.99542, val_acc= 0.12014, time= 12.30252
[2020/4/17 14:20:22] Epoch: 19, train_loss= 2.99137, train_acc= 0.14133, val_loss= 2.99540, val_acc= 0.12014, time= 11.61242
[2020/4/17 14:20:33] Epoch: 20, train_loss= 2.99110, train_acc= 0.14025, val_loss= 2.99537, val_acc= 0.11926, time= 11.59542
[2020/4/17 14:20:45] Epoch: 21, train_loss= 2.99081, train_acc= 0.13936, val_loss= 2.99534, val_acc= 0.11837, time= 11.61996
[2020/4/17 14:20:57] Epoch: 22, train_loss= 2.99052, train_acc= 0.13838, val_loss= 2.99532, val_acc= 0.11837, time= 11.60697
[2020/4/17 14:21:08] Epoch: 23, train_loss= 2.99023, train_acc= 0.13760, val_loss= 2.99529, val_acc= 0.11572, time= 11.61784
[2020/4/17 14:21:21] Epoch: 24, train_loss= 2.98992, train_acc= 0.13769, val_loss= 2.99526, val_acc= 0.11572, time= 12.75211
[2020/4/17 14:21:33] Epoch: 25, train_loss= 2.98961, train_acc= 0.13740, val_loss= 2.99523, val_acc= 0.11749, time= 11.63847
[2020/4/17 14:21:47] Epoch: 26, train_loss= 2.98928, train_acc= 0.13701, val_loss= 2.99520, val_acc= 0.11749, time= 14.06307
[2020/4/17 14:21:59] Epoch: 27, train_loss= 2.98895, train_acc= 0.13701, val_loss= 2.99516, val_acc= 0.11661, time= 11.76557
[2020/4/17 14:22:10] Epoch: 28, train_loss= 2.98861, train_acc= 0.13740, val_loss= 2.99513, val_acc= 0.11749, time= 11.62000
[2020/4/17 14:22:22] Epoch: 29, train_loss= 2.98826, train_acc= 0.13740, val_loss= 2.99510, val_acc= 0.11749, time= 11.58821
[2020/4/17 14:22:33] Epoch: 30, train_loss= 2.98789, train_acc= 0.13789, val_loss= 2.99506, val_acc= 0.11837, time= 11.57291
[2020/4/17 14:22:45] Epoch: 31, train_loss= 2.98752, train_acc= 0.13838, val_loss= 2.99502, val_acc= 0.11837, time= 11.60553
[2020/4/17 14:22:57] Epoch: 32, train_loss= 2.98714, train_acc= 0.13985, val_loss= 2.99498, val_acc= 0.12102, time= 11.59469
[2020/4/17 14:23:09] Epoch: 33, train_loss= 2.98674, train_acc= 0.14113, val_loss= 2.99494, val_acc= 0.12191, time= 12.52434
[2020/4/17 14:23:21] Epoch: 34, train_loss= 2.98633, train_acc= 0.14221, val_loss= 2.99490, val_acc= 0.12456, time= 11.50425
